BEDROOM_NUM,BATHROOM_NUM,PRICE_PER_SQFT,AREA,LOCATION,FURNISH,FACING,AGE,TOTAL_FLOOR,FEATURES,BALCONY_NUM,FLOOR_NUM,CARPET_SQFT,SUPERBUILTUP_SQFT,BUILTUP_SQFT,SUPER_AREA,SUPERAREA_UNIT,SUPER_SQFT
5,1,4912,3209,Howrah,,North-East,19,17,"Club House,Intercom",0,9,2171,3209,2773,3209,,3209
5,3,6880-6926,3396,Howrah,,,26,14,,3,20,2274,3396,3002,3396,,3396
5,,6689,3873,Jadavpur,,North,7,9,"Lift,Security,Park",,,3041,3873,3452,3873,sqm,3873
2,4,11656,3558,Park Street,,,10,5,,1,1,2584,3558,2982,3558,sqft,3558
5,1,4679,3390,,Unfurnished,West,8,13,"Club House,Intercom",1,4,2252,3390,2987,3390,,3390
2,,10825,1335,Jadavpur,,,17,2,"Lift,Security,Park",,,889,1335,1235,1335,sqm,1335
2,4,14756,3399,Garia,,,27,17,"Swimming Pool,Gym",0,8,2582,3399,3224,3399-3433,,3399
4,1,7301,2409,Dum Dum,Furnished,,16,2,Reserved Parking,2,10,1668,2409,2048-2079,2409,,2409-2421
5,,14834,2156,,Unfurnished,North-East,,6,Reserved Parking,2,15,1317,2156,2030-2051,2156,,2156
4,4,10298,1304-1324,,Furnished,North-East,7,15,"Power Backup,Water Supply",1,3,813-863,1304,1221,1304,sq yard,1304
2,3,11755,2870,New Town,Unfurnished,,21,2,,3,9,1755,2870,2504,2870,,2870
2,3,7605,3702,,,North-East,3,12,"Swimming Pool,Gym",,7,2520,3702,3461,3702,sq yard,3702-3751
5,,2289,1481,New Town,Furnished,South,1,18,"Club House,Intercom",0,0,946,1481,1324,1481,sqm,1481
,3,6950,1901,Garia,Unfurnished,East,27,,"Club House,Intercom",,8,1391,1901,1776,1901,,1901
2,4,4082,1243,,,East,,4,,0,18,882,1243,1149,1243,sq yard,1243-1277
5,4,6783,3174-3213,Ballygunge,,South-West,1,2,,2,,2507,3174,2799-2822,3174-3196,,3174
4,1,2948,543,,,South,,12,"Power Backup,Water Supply",2,10,347,543,452,543,,543
,2,14219,3643,Jadavpur,,South-West,26,10,,3,18,2503,3643,3306,3643,,3643-3686
2,4,13262,938-956,,Furnished,West,22,,"Swimming Pool,Gym",2,3,708,938,889,938,,938
4,,12551,3925,Lake Town,,,19,3,,0,8,2540,3925-3942,3317-3327,3925,,3925
,2,9837,2191,Lake Town,Semi-Furnished,South,,11,"Swimming Pool,Gym",3,14,1680,2191,2018,2191,sqft,2191
3,2,13291,2073,Lake Town,,,,18,,,0,1273,2073,1863,2073,,2073
5,3,6699,3183,Park Street,,,,8,,1,16,2214,3183,2685,3183,sq yard,3183
3,1,6764,1538-1572,Ballygunge,Semi-Furnished,South-West,,17,"Lift,Security,Park",0,17,1176,1538,1427,1538,sqft,1538
3,4,11520,3899,Howrah,Unfurnished,South-West,,8,Rain Water Harvesting,1,6,2485,3899,3405,3899,,3899
5,1,11008,2868,Behala,Unfurnished,,10,10,"Power Backup,Water Supply",0,11,1837,2868,2369,2868-2916,sq yard,2868
5,4,13919,3083,Park Street,Semi-Furnished,,1,13,Rain Water Harvesting,0,2,2124,3083,2844,3083,,3083
4,2,3989,1331,Tollygunge,,West,,2,"Club House,Intercom",3,8,869,1331,1138,1331-1349,,1331
,2,5703,2812,,,,25,6,Rain Water Harvesting,3,7,1744,2812,2435-2446,2812,sqm,2812
4,4,5717,3779,Dum Dum,Semi-Furnished,South,26,9,"Power Backup,Water Supply",0,1,2818,3779,3179,3779,sqft,3779
3,4,11593,2765,Tollygunge,Unfurnished,South,16,20,,3,,1844,2765,2478,2765,sq yard,2765
,,12999,2496,Alipore,,West,,20,"Club House,Intercom",3,1,1607,2496,2336,2496,,2496
3,3,5810,817,Ballygunge,,,,5,Rain Water Harvesting,1,5,505,817,768,817,,817-835
2,3,8878,3819,Behala,Furnished,,13,10,"Lift,Security,Park",3,,2644-2667,3819,3532,3819,,3819-3866
2,,2925,1243,Salt Lake,,West,7,2,,2,,950,1243,1051,1243,,1243
4,4,6115-6134,1420,Salt Lake,,North,29,,"Power Backup,Water Supply",2,0,869,1420,1204,1420,sq yard,1420
3,3,14524,3376,Lake Town,,South,4,3,"Swimming Pool,Gym",,4,2026,3376,2861,3376-3409,,3376
2,2,2093,3993-4039,Alipore,Semi-Furnished,West,12,16,,2,10,2615,3993,3610,3993,,3993
1,2,3258,2324,,Unfurnished,West,,12,"Lift,Security,Park",1,14,1645,2324-2363,2048-2061,2324,sqft,2324
1,4,2637,3422,,,South-West,16,15,"Swimming Pool,Gym",2,14,2130-2142,3422,3005-3053,3422-3448,,3422
4,,6405,3736-3778,Howrah,Unfurnished,North-East,16,3,,1,5,2474-2501,3736,3362,3736,sqft,3736
4,3,5592,2071,Rajarhat,Semi-Furnished,South-West,21,10,"Swimming Pool,Gym",1,15,1486,2071,1965,2071,sqft,2071
1,1,14694,1701,Alipore,,,,3,,2,6,1134,1701,1400,1701,,1701
3,4,10057,2109,Behala,,West,22,9,Rain Water Harvesting,3,4,1450,2109,1906,2109,,2109
5,1,5661,3607,,Unfurnished,West,7,,Rain Water Harvesting,2,5,2248,3607-3627,3229,3607,,3607
2,3,10599,911,,,,,19,,2,19,640,911,739,911,sq yard,911
2,3,2646,2165,Salt Lake,,South,17,,,2,20,1581,2165,2023,2165,,2165
3,4,8339-8381,1486-1509,Lake Town,Semi-Furnished,,25,6,,,3,968-1000,1486,1250,1486,sq yard,1486
4,,14586,3486,Salt Lake,,West,22,6,"Power Backup,Water Supply",2,4,2464,3486,2913,3486,,3486
1,4,4658,1553,Howrah,,North,2,3,,1,8,982,1553,1390,1553,sqft,1553
1,,11375-11394,1561,Lake Town,Furnished,,30,,,1,,1171,1561,1416,1561,sqm,1561
3,3,4444,764,Alipore,,South,4,8,,2,13,505,764-799,659,764-776,sqm,764
3,2,13815,3168,Rajarhat,,South,,6,,3,,1984,3168,2787,3168,sqm,3168
1,3,12000,631-649,,Semi-Furnished,East,8,4,"Power Backup,Water Supply",2,0,435,631,510,631,,631
2,1,4552,2431,Tollygunge,Unfurnished,,16,6,,1,13,1797,2431,2004,2431,sqft,2431
3,4,8715,3280-3326,,,East,28,5,"Club House,Intercom",1,,2194,3280,2800,3280,sqm,3280
2,1,10393,1479,Tollygunge,,,18,,,1,11,974,1479,1282,1479,,1479
4,4,6497-6527,1139,,,West,9,9,,0,11,715,1139,1057,1139,,1139
5,4,4606,2629,Alipore,Furnished,North,,1,,2,3,1772,2629,2298,2629,,2629
,2,4380,2033,Salt Lake,,West,16,8,"Swimming Pool,Gym",,18,1450,2033,1889,2033,sqft,2033
1,,11745,2381,New Town,Unfurnished,North,,3,Reserved Parking,3,7,1718,2381,2067,2381,,2381
5,2,12070,1040,,Furnished,East,22,,,2,8,810,1040,849,1040,,1040
5,2,13022,3183,,Unfurnished,North,28,11,"Power Backup,Water Supply",,4,2463,3183,2909-2926,3183,,3183
,1,13155,2783,Park Street,,,2,4,,3,8,1995,2783,2560-2597,2783,sq yard,2783
,3,5365,2742,Garia,,West,4,4,Rain Water Harvesting,2,18,1719,2742,2569,2742,,2742
,1,13601,1499,Dum Dum,,South-West,15,20,,2,9,921,1499,1217,1499,sqm,1499
1,3,11191,1688,Salt Lake,,,26,2,"Lift,Security,Park",1,,1172,1688-1717,1572-1587,1688-1698,,1688
2,4,6138-6149,1224,,,,18,,Rain Water Harvesting,1,,744,1224,1131,1224,sqm,1224
1,4,13113,2404-2426,Dum Dum,,,28,12,,3,11,1502,2404,2147-2165,2404,,2404
1,,6873,1491,Lake Town,Furnished,North,21,15,,0,,1001,1491,1196,1491,sqft,1491
,3,8524-8544,3903,,,,6,11,Rain Water Harvesting,1,14,2527,3903,3139,3903,sqft,3903
2,2,8850,3402,Dum Dum,,,29,,"Swimming Pool,Gym",2,1,2243,3402,2999,3402,,3402-3417
1,2,11416,1806,,,East,1,3,Rain Water Harvesting,0,,1170-1201,1806,1606,1806,sqm,1806
2,,7655,2130,Howrah,Unfurnished,,0,3,"Power Backup,Water Supply",1,12,1311,2130,1714,2130-2149,,2130
2,,13331,496,Alipore,Semi-Furnished,,21,15,,1,5,312,496,445,496,,496
3,1,5627,2955,Ballygunge,,,,15,,0,,2361,2955,2679,2955,,2955
2,2,3642,3491,Park Street,Furnished,,10,4,"Swimming Pool,Gym",1,0,2104,3491,2878,3491,,3491
,,2044,3021,Dum Dum,,West,3,10,,2,5,2057,3021-3071,2868-2887,3021,,3021
4,3,5308,1636,,Semi-Furnished,,20,17,Rain Water Harvesting,,,1011,1636,1503,1636,,1636
,2,14651,1203,Alipore,Furnished,North-East,27,17,,,3,930,1203,971,1203,,1203
2,1,5857,2368-2413,Rajarhat,,South,17,6,"Club House,Intercom",2,0,1454,2368,1991,2368,sqm,2368
4,1,12158,3477,New Town,Semi-Furnished,North-East,29,1,"Lift,Security,Park",1,,2737,3477,3262,3477,,3477
3,2,3787,774,Lake Town,,West,1,,,2,14,470,774,699,774,sqft,774
3,4,7983,3671,Lake Town,Semi-Furnished,,,2,"Lift,Security,Park",2,,2416,3671,3122,3671,sqm,3671
1,4,3321,2200,,Unfurnished,,2,17,,,17,1366,2200-2221,1916,2200,,2200
3,1,11641,1749,Howrah,,East,8,19,,2,8,1166,1749,1545,1749,,1749
2,,12458,1761,,,,25,13,"Lift,Security,Park",0,,1363,1761,1556,1761,,1761
1,4,4406,2994,Dum Dum,,,9,17,,2,9,1988-2034,2994,2591-2601,2994,sqm,2994
1,3,4421,2181-2223,Salt Lake,Unfurnished,,20,2,,2,1,1726,2181,2049,2181,,2181
,1,10963,3249,,,East,,12,,2,,2246,3249,3018,3249,sqft,3249
3,3,8235,3843,Behala,Semi-Furnished,East,16,4,Reserved Parking,2,6,2513,3843,3174,3843,,3843
4,2,5677,3840,Lake Town,,North,21,1,"Swimming Pool,Gym",1,15,2419,3840,3355,3840,,3840
3,3,6037,1899,Park Street,Unfurnished,,10,,,3,,1401,1899,1740,1899,,1899
3,3,13685,2253,Alipore,Semi-Furnished,,0,11,,1,7,1413,2253,1862,2253,,2253
4,,4026,3926,Tollygunge,,North-East,,12,"Lift,Security,Park",0,,2458-2503,3926-3938,3497-3518,3926-3954,,3926
,3,5462,1223,Tollygunge,,,12,20,Rain Water Harvesting,0,15,894-922,1223,1072,1223,sqm,1223
3,4,11177,2505,Tollygunge,,,9,,Reserved Parking,,2,1724,2505-2523,2345,2505,,2505
4,2,4136,2774-2805,,Unfurnished,North-East,10,5,,,0,2200,2774,2530,2774,,2774
5,3,5459,2652,,,South,11,20,"Power Backup,Water Supply",3,9,2055,2652,2209,2652,sq yard,2652
1,4,7960,1517,Lake Town,Semi-Furnished,,4,,,2,,930,1517,1294,1517,sqft,1517
3,2,10118-10143,1277,Park Street,,,,15,Reserved Parking,0,2,888,1277,1041,1277,,1277
5,1,7838,801,Dum Dum,Unfurnished,East,14,7,,3,18,603-631,801,709-749,801,sqft,801
3,4,7551,1264,Tollygunge,Semi-Furnished,South,6,8,"Power Backup,Water Supply",,,804,1264,1151,1264,,1264
,3,2175,2026-2059,Alipore,Furnished,South-West,11,5,"Swimming Pool,Gym",,12,1221,2026-2048,1779,2026,sqm,2026-2058
,4,11614,1848,Park Street,,North,5,12,,2,14,1421,1848,1741,1848,sq yard,1848-1878
3,1,5714,2137,Kasba,,South-West,10,9,"Swimming Pool,Gym",0,17,1284,2137,1859,2137,,2137
,4,12155-12172,1427,Lake Town,Semi-Furnished,West,19,4,"Lift,Security,Park",0,,946,1427,1331,1427,,1427
2,4,13576,1638,Rajarhat,,East,,,Rain Water Harvesting,3,0,1213,1638,1465,1638,sq yard,1638
,1,5124,1163,Park Street,Semi-Furnished,South-West,15,17,"Club House,Intercom",1,8,812,1163,1102,1163,,1163
,3,5057,1627,Dum Dum,Semi-Furnished,South,30,,"Lift,Security,Park",1,5,1117,1627,1462,1627,,1627-1648
2,1,5723,1746,Kasba,Semi-Furnished,South-West,17,17,"Lift,Security,Park",0,17,1105,1746,1466,1746,sq yard,1746
,2,12561,2202,,,South-West,16,2,,3,17,1448,2202,1762,2202,,2202
,3,9136,2597,Ballygunge,Unfurnished,South-West,9,8,Rain Water Harvesting,1,6,2045,2597,2279,2597,,2597
5,4,7108,1429,Behala,,,4,10,Rain Water Harvesting,1,19,985,1429,1230,1429,,1429
2,3,3040,2574,Rajarhat,,,9,6,Rain Water Harvesting,,13,1809,2574,2066,2574,,2574
3,4,6384,2737,Lake Town,,,6,18,,3,5,1781,2737,2324,2737,,2737
2,1,4310,663,,,North,9,15,"Power Backup,Water Supply",,,469-495,663,564-598,663,sq yard,663
2,,4708,687,Salt Lake,,,13,10,,,7,507,687,606,687,,687
3,,8355,3254,Behala,Furnished,West,3,,"Lift,Security,Park",2,,2450,3254,2755,3254,,3254
2,3,3429,1401,Ballygunge,,West,,20,,2,,884,1401,1176,1401,,1401-1427
3,1,6376,3123,Lake Town,,,7,18,"Lift,Security,Park",,16,1953-1967,3123-3138,2787,3123,sqm,3123
2,4,7152,705,Howrah,Unfurnished,West,6,,"Swimming Pool,Gym",3,0,556,705,639,705,sqm,705
5,2,7994,3589,,,,20,5,Reserved Parking,3,13,2474,3589,2912,3589,,3589
5,4,2913,1525-1566,,,West,16,,"Club House,Intercom",2,4,1143,1525,1311,1525,,1525
,3,10049,916,Park Street,,North-East,4,,"Lift,Security,Park",,,682,916,852,916,sq yard,916
4,1,9064-9085,3752,Rajarhat,Furnished,East,6,10,,2,18,2552,3752,3100,3752,,3752
3,3,4153,410,Park Street,Furnished,East,,,Reserved Parking,0,,255,410,371,410,,410
,4,3502-3521,1071,Alipore,,North,22,,,2,,730,1071,872,1071,,1071
,4,10244,1358,Park Street,,North-East,14,,"Lift,Security,Park",2,5,1080-1097,1358,1097,1358,,1358
5,1,4772,449,,,North,22,19,Rain Water Harvesting,2,11,324,449,407,449,,449
3,,9035,1305,Howrah,,North-East,6,10,Reserved Parking,0,14,1009-1039,1305,1072,1305,,1305
,4,12769,1074,Salt Lake,,,27,2,"Swimming Pool,Gym",2,5,841,1074,940,1074,,1074
2,2,13350,817,Kasba,,East,,,Rain Water Harvesting,2,0,541,817,670,817,,817
5,3,13816,1133,Lake Town,,West,,18,,,13,900,1133,976,1133,sqft,1133
5,1,11025,699,Alipore,,South,5,,"Swimming Pool,Gym",0,2,515,699,600,699,,699
2,3,7375,3482,,,,12,10,Reserved Parking,2,2,2132,3482,3122,3482,,3482-3530
2,4,13542,3543,Dum Dum,Semi-Furnished,,,8,,2,11,2157,3543,3339-3375,3543,,3543
1,4,9734,1400,Dum Dum,,,7,20,,0,13,908,1400,1122,1400,sq yard,1400
2,4,7230,530,Alipore,Unfurnished,South-West,7,13,,2,3,398,530,466,530,,530
5,2,8364,3364,Dum Dum,,,4,6,Rain Water Harvesting,2,12,2344,3364-3378,3127,3364-3376,,3364
4,2,14583,2531,Jadavpur,Unfurnished,,26,,Rain Water Harvesting,0,17,1839,2531,2322,2531,sq yard,2531
5,1,13133,1632-1666,,Semi-Furnished,West,,1,"Swimming Pool,Gym",1,14,1067-1110,1632,1543,1632,sqm,1632
4,4,10132,1161,Salt Lake,,West,13,3,Rain Water Harvesting,3,0,913,1161,1022,1161,,1161
2,1,14284,2978,Alipore,,West,24,16,Rain Water Harvesting,,,1905,2978,2529,2978,,2978
3,1,9278,959-985,Tollygunge,,North,,5,Reserved Parking,0,4,750,959,835,959,sq yard,959
,,12100,3755,,,,20,18,"Power Backup,Water Supply",3,4,2545,3755,3171,3755,,3755
2,,6756,2078,Park Street,Unfurnished,,27,20,,2,7,1525,2078,1947,2078,,2078
1,,10973,1772,Tollygunge,Unfurnished,North-East,18,20,,3,19,1093,1772,1494,1772,,1772-1808
1,3,11405-11446,2768,,,North-East,16,,,,15,2208,2768,2352,2768,sq yard,2768
3,4,9234,3041,,Furnished,,3,5,"Club House,Intercom",0,2,2187-2221,3041,2817,3041,,3041
5,3,2518,2501-2548,Dum Dum,,,1,8,"Lift,Security,Park",,17,1977,2501,2078,2501,,2501
3,,5798,3771,,,,20,15,,2,1,2360,3771,3295,3771,,3771
,4,6942-6981,2042,Park Street,Unfurnished,East,0,13,"Swimming Pool,Gym",1,8,1413,2042,1678,2042,sq yard,2042
4,3,13836-13867,742,,,,5,,"Swimming Pool,Gym",3,,579-595,742,671,742-778,,742-757
4,,9351,672,Park Street,,,9,,,2,9,528,672,556,672-716,,672
5,,10579,807-837,,Semi-Furnished,East,9,19,"Lift,Security,Park",,2,602,807,686,807,,807
4,1,11529,533,New Town,,West,8,1,,,5,370,533,500,533,,533
,4,2841,3337,Garia,,North-East,7,6,,,10,2522,3337,2708-2751,3337,sqft,3337
2,1,12614,1201,Alipore,,West,20,,"Club House,Intercom",3,17,879,1201,1082,1201,,1201
2,,13585-13613,2619,Salt Lake,,,,19,,3,5,1726,2619,2285,2619,sqft,2619
,,4616,1456,Salt Lake,,West,27,8,Rain Water Harvesting,3,20,1056,1456,1266,1456,sqm,1456-1496
,4,14824,2368,Park Street,,,0,,Rain Water Harvesting,0,,1606,2368,2208,2368,,2368
4,4,7436,2090,Lake Town,,,16,,"Lift,Security,Park",1,,1467,2090,1955,2090,sq yard,2090
5,1,7500,2738-2765,,Furnished,,0,,"Lift,Security,Park",,10,1766,2738,2445,2738,,2738
2,4,13194,3216,Kasba,Furnished,North,25,12,"Power Backup,Water Supply",0,20,2410,3216,2964,3216,,3216
,2,10283,516,Garia,,,6,12,Reserved Parking,2,11,314,516,476,516,sqft,516
3,1,9885,2040-2074,Howrah,Furnished,South-West,0,1,,3,15,1530,2040-2055,1829,2040,,2040
1,2,4740,3281,Garia,Unfurnished,,2,17,,,3,2015,3281,2759,3281,sqm,3281
5,1,12667,2627-2666,,Unfurnished,North,,17,,3,13,2023,2627,2214,2627,,2627
2,4,7624,2999-3040,New Town,,South-West,22,19,"Lift,Security,Park",1,16,2270,2999-3031,2429,2999,,2999
